"","x"
"1",20802
"2",12342
"3",22715
"4",183225
"5",15991
"6",17332
"7",31389
"8",8185
"9",21182
"10",15549
"11",23041
"12",22074
"13",22141
"14",19905
"15",8185
"16",13536
"17",15993
"18",33506
"19",61152
"20",19526
"21",12964
"22",32983
"23",10938
"24",23196
"25",34880
"26",9961
"27",21851
"28",30620
"29",11450
"30",52729
"31",23077
"32",14196
"33",17986
"34",59218
"35",51912
"36",10758
"37",11763
"38",44110
"39",9685
"40",9388
"41",27827
"42",32018
"43",18917
"44",15754
"45",9987
"46",31775
"47",21298
"48",19789
"49",51220
"50",10598
"51",16556
"52",19332
"53",6502
"54",24301
"55",12503
"56",10020
"57",24055
"58",81543
"59",69026
"60",39925
"61",33286
"62",52831
"63",30718
"64",66533
"65",5442
"66",33347
"67",34321
"68",86156
"69",18642
"70",26186
"71",19290
"72",12065
"73",19385
"74",17617
"75",42966
"76",23097
"77",21758
"78",30583
"79",12959
"80",16969
"81",18657
"82",19443
"83",27885
"84",18016
"85",19431
"86",10294
"87",21018
"88",8014
"89",109382
"90",34987
"91",37134
"92",25164
"93",12670
"94",24532
"95",241134
"96",16883
"97",25883
"98",42204
"99",24281
"100",34604
"101",17839
"102",25709
"103",20708
"104",33746
"105",16179
"106",16265
"107",64750
"108",9640
"109",20761
"110",19242
"111",6990
"112",60752
"113",7339
"114",21080
"115",21297
"116",56116
"117",14853
"118",78317
"119",71250
"120",23738
"121",38250
"122",39367
"123",44340
"124",57720
"125",33194
"126",36929
"127",33002
"128",21999
"129",35438
"130",27374
"131",89920
"132",53541
"133",56132
"134",27084
"135",36789
"136",21601
"137",21436
"138",7281
"139",11166
"140",72757
"141",35978
"142",58168
"143",21466
"144",32484
"145",38607
"146",9133
"147",68983
"148",49771
"149",12613
"150",13793
"151",10098
"152",15490
"153",58561
"154",26706
"155",80110
"156",17292
"157",7294
"158",11829
"159",32708
"160",58740
"161",31683
"162",25767
"163",26103
"164",25639
"165",26410
"166",25112
"167",26100
"168",52858
"169",15970
"170",24252
"171",8134
"172",17071
"173",29608
"174",32808
"175",56967
"176",42995
"177",91685
"178",13369
"179",71919
"180",41000
"181",32526
"182",20658
"183",19833
"184",15859
"185",14263
"186",19898
"187",8397
"188",13271
"189",53557
"190",23695
"191",32562
"192",33261
"193",17503
"194",19832
"195",36988
"196",42418
"197",22512
"198",20220
"199",42009
"200",65179
"201",9023
"202",15676
"203",61487
"204",52484
"205",70749
"206",24241
"207",29723
"208",22769
"209",21847
"210",16046
"211",26218
"212",9083
"213",47048
"214",42122
"215",34325
"216",30346
"217",25964
"218",10503
"219",44424
"220",28932
"221",52443
"222",34713
"223",20516
"224",86206
"225",18109
"226",56665
"227",14277
"228",41855
"229",29590
"230",25099
"231",14787
"232",33852
"233",100399
"234",26207
"235",40057
"236",24453
"237",53122
"238",117191
"239",81234
"240",15788
"241",13002
"242",56537
"243",48625
"244",29964
"245",6948
"246",14722
"247",50469
"248",51057
"249",47034
"250",124204
"251",119914
"252",120337
"253",121746
"254",120101
"255",128831
"256",26441
"257",22098
"258",28636
"259",24338
"260",46540
"261",36203
"262",26011
"263",24943
"264",13808
"265",8818
"266",21633
"267",24374
"268",26685
"269",59381
"270",28105
"271",78037
"272",78095
"273",78626
"274",97638
"275",20702
"276",5275
"277",21334
"278",131316
"279",11503
"280",42549
"281",85107
"282",42494
"283",85016
"284",42537
"285",42494
"286",45557
"287",160144
"288",86464
"289",86270
"290",14789
"291",17719
"292",8576
"293",20082
"294",41137
"295",16230
"296",19539
"297",28588
"298",23892
"299",40219
"300",22852
"301",85958
"302",10201
"303",10190
"304",10046
"305",48473
"306",54049
"307",41952
"308",31596
"309",17835
"310",16455
"311",38043
"312",6051
"313",16750
"314",16910
"315",15936
"316",20393
"317",17866
"318",33604
"319",53958
"320",11211
"321",17226
"322",25748
"323",15447
"324",26404
"325",6446
"326",33997
"327",15606
"328",7420
"329",15419
"330",11202
"331",22487
"332",11325
"333",10831
"334",8877
"335",12236
"336",20765
"337",41384
"338",29414
"339",17304
"340",84192
"341",53015
"342",37797
"343",24439
"344",25120
"345",14174
"346",34833
"347",34381
"348",22275
"349",28464
"350",17494
"351",21600
"352",10451
"353",43822
"354",99386
"355",104153
"356",101554
"357",36427
"358",18490
"359",18252
"360",85367
"361",94185
"362",90443
"363",29840
"364",33177
"365",28949
"366",14949
"367",31584
"368",18465
"369",21286
"370",13218
"371",22852
"372",23354
"373",20272
"374",290918
"375",112683
"376",72203
"377",12361
"378",7422
"379",227792
"380",20296
"381",32328
"382",15382
"383",10941
"384",14641
"385",18338
"386",10818
"387",8672
"388",11838
"389",9872
"390",27376
"391",8087
"392",16589
"393",6500
"394",7013
"395",22183
"396",46611
"397",27095
"398",15981
"399",24025
"400",31422
"401",16313
"402",31040
"403",34898
"404",187249
"405",165736
"406",25227
"407",9299
"408",33572
"409",10834
"410",14416
"411",15089
"412",23912
"413",9293
"414",19643
"415",43476
"416",28147
"417",86016
"418",39640
"419",40915
"420",15640
"421",36898
"422",14204
"423",35597
"424",77867
"425",69748
"426",19629
"427",52681
"428",41718
"429",110819
"430",58510
"431",10877
"432",24791
"433",330352
"434",43261
"435",32081
"436",71580
"437",16608
"438",34258
"439",10991
"440",11495
"441",11174
"442",119311
"443",11783
"444",32761
"445",79489
"446",23132
"447",30741
"448",17290
"449",52012
"450",30513
"451",13630
"452",29067
"453",74065
"454",45402
"455",6123
"456",6320
"457",25361
"458",12655
"459",33138
"460",27971
"461",62243
"462",16241
"463",17390
"464",34266
"465",17417
"466",19273
"467",29104
"468",51593
"469",113384
"470",33547
"471",34904
"472",18894
"473",16715
"474",22231
"475",6364
"476",66380
"477",6090
"478",36631
"479",30722
"480",24709
"481",12272
"482",7142
"483",6091
"484",66844
"485",31003
"486",20261
"487",47443
"488",31370
"489",36427
"490",103209
"491",29123
"492",13666
"493",25323
"494",15696
"495",5311
"496",32827
"497",44647
"498",12424
"499",7528
"500",23305
"501",16684
"502",5126
"503",15453
"504",59248
"505",41451
"506",48298
"507",31101
"508",20192
"509",16881
"510",218239
"511",53589
"512",294526
"513",375410
"514",297258
"515",23327
"516",27717
"517",36062
"518",20729
"519",30691
"520",36746
"521",11765
"522",25055
"523",20123
"524",72668
"525",43376
"526",35018
"527",32563
"528",23939
"529",20512
"530",21349
"531",24071
"532",32393
"533",9769
"534",16855
"535",43157
"536",72453
"537",65219
"538",15287
"539",106104
"540",26289
"541",36069
"542",18899
"543",51629
"544",20223
"545",18031
"546",13447
"547",17814
"548",38133
"549",22975
"550",29919
"551",33909
"552",43360
"553",129584
"554",18514
"555",9772
"556",9821
"557",9826
"558",9044
"559",32308
"560",12294
"561",9040
"562",20191
"563",17558
"564",13546
"565",68259
"566",147376
"567",48290
"568",50122
"569",68636
"570",81740
"571",27385
"572",30899
"573",21395
"574",7411
"575",7391
"576",117029
"577",71937
"578",22373
"579",50996
"580",239743
"581",165279
"582",155862
"583",166509
"584",10804
"585",10803
"586",85732
"587",75983
"588",11202
"589",36119
"590",56994
"591",33751
"592",14495
"593",27732
"594",14356
"595",34152
"596",17820
"597",7403
"598",10174
"599",76240
"600",84759
"601",89068
"602",129720
"603",43989
"604",86915
"605",86892
"606",8807
"607",20261
"608",7556
"609",31514
"610",30036
"611",74387
"612",40726
"613",62819
"614",50711
"615",48202
"616",49753
"617",48578
"618",11447
"619",13793
"620",14115
"621",29888
"622",31371
"623",10629
"624",19986
"625",37444
"626",40546
"627",54630
"628",38959
"629",23550
"630",30766
"631",44656
"632",56250
"633",55989
"634",62457
"635",122359
"636",65362
"637",38910
"638",49975
"639",234197
"640",144949
"641",164037
"642",160808
"643",6260
"644",148344
"645",97747
"646",99139
"647",56466
"648",25312
"649",21958
"650",10808
"651",22763
"652",28732
"653",11429
"654",33051
"655",9913
"656",20876
"657",19649
"658",13766
"659",44606
"660",19045
"661",45910
"662",6071
"663",27079
"664",6580
"665",20568
"666",52086
"667",196466
"668",8376
"669",25620
"670",404313
"671",22565
"672",253703
"673",29292
"674",259660
"675",158481
"676",150033
"677",19096
"678",7933
"679",7213
"680",17749
"681",31931
"682",16392
"683",22724
"684",14437
"685",25515
"686",26125
"687",57512
"688",9648
"689",78495
"690",37278
"691",37513
"692",196466
"693",21172
"694",39934
"695",36134
"696",11697
"697",22159
"698",23696
"699",22440
"700",17389
"701",23386
"702",30687
"703",20062
"704",22951
"705",18939
"706",197461
"707",57490
"708",12917
"709",10571
"710",21102
"711",18159
"712",15924
"713",46397
"714",30757
"715",24992
"716",20103
"717",48771
"718",11911
"719",12140
"720",40575
"721",33680
"722",13949
"723",71310
"724",38970
"725",136859
"726",71340
"727",25195
"728",31303
"729",24745
"730",52828
"731",72673
"732",15671
"733",5233
"734",29221
"735",60817
"736",43647
"737",39029
"738",97162
"739",38488
